Owner,Contact,Where I Live,Investor Name,Firm,Year Joined Firm,Current Fund Size,Current Fund Vintage,Company Stage,Where I Invest,Typical Check Size,Sectors I Focus On,Select Past Investments,Probably Wouldn't Invest,Notes
MP (from CN),Sutian Dong,NYC,Sutian Dong,Female Founders Fund (FCubed),no response,no response,no response,no response,no response,no response,no response,no response,no response,no response
MP,,NYC,AJ Plotkin,ff VC,2013,$54M,2016,"Seed, Series A, Series B","US, Canada, Europe, Israel, Global","$250-$500K, $500K-$1M",All,"Drop Loyalty, Four Mine","Medical, Chemical, Energy",
MP,,NYC,David Teten,ff VC,2011,$54M,2016,"Seed, Series A, Series B","US, Canada, Europe, Israel, Global","$250-$500K, $500K-$1M",All,"Authorea, Wonder","Medical, Chemical, Energy",
MP,,NYC,John Frankel,ff VC,2008,$54M,2016,"Seed, Series A, Series B","US, Canada, Europe, Israel, Global","$250-$500K, $500K-$1M",All,"Indiegogo, Plated, 500px","Medical, Chemical, Energy",
MP,,NYC,Brooks Gibbins,FinTech Collective,2012,$100M,2016,"Seed, Series A","NYC, SFBA, LA, US, Canada, Europe, Israel, Asia, Global","$500K-$1M, $1-$3M",Fin-Tech,"Quovo, Embroker, Reorg Research, MoneyLion, Octane Lending, Slide, Axoni, TradeBlock",,
JB,Abdul Ly,NYC,Bill Trenchard,First Round Capital,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,
JB,Abdul Ly,NYC,Chris Fralic,First Round Capital,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,
JB,Abdul Ly,NYC,Phin Barnes,First Round Capital,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,
JB,Abdul Ly,NYC,Rob Hayes,First Round Capital,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,
MP,,NYC,Amish Jani,FirstMark Capital,2008,$275M,2016,"Seed, Series A","US, Europe","$1-$3M, $3-$10M",SaaS,,,
MP,,NYC,Matt Turck,FirstMark Capital,2013,$275M,2016,"Seed, Series A","US, Europe","$1-$3M, $3-$10M","AI / ML, Data / Analytics, Hardware / IoT, VR / AR, Robotics / Drones",,cleantech,
MP,,NYC,Rick Heitzmann,FirstMark Capital,2008,$275M,2016,"Seed, Series A","US, Europe","$1-$3M, $3-$10M","Consumer, Entertainment / Gaming / Sports, Marketplaces",,,
,,,Andres Barreto,Firstrock Capital,2016,$30M,2016,"Pre-Seed, Seed, Series A","NYC, SFBA, LA, US, Canada, Global",$0-$250K,All,"Authy, Arthena, Bluesmart, Fusar, Meural, LendingFront, VOIQ",Emerging Markets,Focus on recruiting elite engineering teams.
MP,,NYC,Fabrice Grinda,FJ Labs,2010,~$150m (rolling),"Pre-Seed, Seed, Series A, Series B","NYC, SFBA, LA, US, Canada, Europe, Israel, Asia, Global","$0-$250K, $250-$500K, $500K-$1M","AI / ML, Bitcoin / Blockchain, Consumer, E-Commerce, Ed-Tech, Entertainment / Gaming / Sports, Fin-Tech, Health-Tech, HR, Marketing, Marketplaces, Mobile, Real Estate, Transportation","Betterment, Flexport, Uber, Fanduel, LetGo, LendingHome",Typically don't invest pre-revenue; don't invest in hardware; more interested in application phase vs. development phase for technology,http://www.fjlabs.com/,
MP,,NYC,Jose Marin,FJ Labs,2010,~$150m (rolling),"Pre-Seed, Seed, Series A, Series B, Growth","NYC, SFBA, LA, US, Canada, Europe, Israel, Asia, Global","$0-$250K, $250-$500K, $500K-$1M, $1-$3M","AI / ML, Bitcoin / Blockchain, Consumer, E-Commerce, Entertainment / Gaming / Sports, Fin-Tech, Health-Tech, HR, Marketing, Marketplaces, Mobile, Real Estate, Transportation","Flexport, Betterment, Uber, LetGo, LendingHome, Boxed, ",Don't invest in hardware; typically don't invest pre-revenue,http://www.fjlabs.com/,
,,,Laurel Touby,Flatiron Investors,2015,-,2015,Seed,"NYC, SFBA, LA, US","$0-$250K, $250-$500K","AI / ML, Bitcoin / Blockchain, Cloud, Data / Analytics, Enterprise / SaaS, Fin-Tech, Health-Tech, Mobile","Appboy, PeerIQ, Credijusto, Fresco News","Biotech, hardware, energy, robotics","I know everyone says this, but we are truly a value-add investor. We have a 15k-strong network of professionals who we tap for partnerships, customers, investment, media and other help for our portfolio companies."
JR,,NYC,Jesse Middleton ,Flybridge,2016,$70M,2015,"Pre-Seed, Seed, Series A","NYC, SFBA, LA, US, Israel","$0-$250K, $250-$500K, $500K-$1M, $1-$3M","Ad-Tech, AI / ML, Bitcoin / Blockchain, Bots, Cloud, Consumer, Data / Analytics, Developer Tools, E-Commerce, Ed-Tech, Enterprise / SaaS, Entertainment / Gaming / Sports, Fin-Tech, Infrastructure, Marketing, Marketplaces, Mobile, Robotics / Drones, Security, VR / AR","MongoDB, Bettercloud, Crashlytics, Firebase, Remote Year, Bitsight, Jibo, NS1","Bio-tech, life sciences, cleantech; later stage ",
JR,,NYC,David Aronoff ,Flybridge,2005,$70M,2015,"Pre-Seed, Seed, Series A","NYC, SFBA, LA, US, Israel","$0-$250K, $250-$500K, $500K-$1M, $1-$3M","Ad-Tech, AI / ML, Bitcoin / Blockchain, Bots, Clean-Tech / Energy, Cloud, Consumer, Data / Analytics, Developer Tools, E-Commerce, Enterprise / SaaS, Fin-Tech, Infrastructure, Marketing, Marketplaces, Mobile, Robotics / Drones, Security, VR / AR","NS1, MongoDB, BetterCloud, Bitsight",late stage,
,,,Parul Singh,Founder Collective,2016,$75M,2017,Seed,"NYC, SFBA, LA, US","$0-$250K, $250-$500K, $500K-$1M, $1-$3M","Ad-Tech, AI / ML, Bitcoin / Blockchain, Bots, Cloud, Consumer, Data / Analytics, Developer Tools, E-Commerce, Ed-Tech, Enterprise / SaaS, Fin-Tech, Hardware / IoT, Health-Tech, HR, Infrastructure, Marketing, Marketplaces, Media / Publishing, Mobile, Real Estate, Robotics / Drones, Social / Messaging, Security, Transportation, VR / AR, Wearables","Buzzfeed, Workjam, ThredUp, Blissfully, Kuvee",Biotech/life sciences,All of us are founders and we are deeply committed to building great teams.
MP,,NYC,Josef Feldman,FoundersGuild,2013,n/a,2013,"Pre-Seed, Seed, Series A","NYC, SFBA,LA, US, Canada, Europe, Israel","$0-$250K, $250-$500K, $500K-$1M, $1-$3M","All, AI / ML, Cloud, Consumer, Data / Analytics, Developer Tools, E-Commerce, Enterprise / SaaS, Fin-Tech, Hardware / IoT, Marketplaces, Robotics / Drones, VR / AR","ShaperTools, Lesara, Happn, Arbor, Frame.io, Sprig","Biotech, Cleantech",
JB,,NYC,David Wolfson,FoundersGuild,2013,n/a,2013,"Pre-Seed, Seed, Series A","NYC, SFBA, LA, US, Canada, Europe, Israel","$0-$250K, $250-$500K, $500K-$1M, $1-$3M","All, AI / ML, Cloud, Consumer, Data / Analytics, Developer Tools, E-Commerce, Enterprise / SaaS, Fin-Tech, Hardware / IoT, Marketplaces, Robotics / Drones, VR / AR","ShaperTools, Lesara, Happn, Arbor, Frame.io, Sprig","Biotech, Cleantech",
,,,Paul Grossinger,Gaingels,2014,Syndicate,Syndicate,"Pre-Seed, Seed, Series A, Series B","NYC, SFBA, LA, US","$0-$250K, $250-$500K, $500K-$1M",All,"Kenzen, Teckst, Imperative, Select, Tradeit",Biopharmaceuticals,
CN,,NYC,no interest,General Atlantic,no interest,no interest,no interest,no interest,no interest,no interest,no interest,no interest,no interest,no interest
CN,,NYC,Adam Valkin,General Catalyst Partners,no response,no response,no response,no response,no response,no response,no response,no response,no response,no response
CN,,NYC,Spencer Lazar,General Catalyst Partners,no response,no response,no response,no response,no response,no response,no response,no response,no response,no response
,,,Christian Busch,German Accelerator,2016,Angel ,2012,"Pre-Seed, Seed, Series A","NYC, Europe",$0-$250K,"Ad-Tech, Consumer, Entertainment / Gaming / Sports, Fin-Tech, Marketing, Marketplaces, Media / Publishing, Real Estate","Knock, SeamlessDocs, Hipcamp","biotech, medtech",Angel Investor
,,,Robin Li,GGV Capital,2014,$1.2B,2016,"Pre-Seed, Seed, Series A, Series B, Growth","NYC, SFBA, LA, US, Asia","$0-$250K, $250-$500K, $500K-$1M, $1-$3M, $3-$10M, $10M+","Consumer, E-Commerce, Marketplaces, Media / Publishing, Mobile, Social / Messaging",,,Email: Rli@ggvc.com
JB,,NYC,no response,Goldman Sachs Investment Partners,no response,no response,no response,no response,no response,no response,no response,no response,no response,no response
MP,,NYC,Danny Schultz,Gotham Ventures,2000,$78M,2008,"Seed, Series A","NYC, SFBA, US, Israel","$250-$500K, $500K-$1M, $1-$3M","Ad-Tech, AI / ML, Bitcoin / Blockchain, Cloud, Consumer, Data / Analytics, Developer Tools, E-Commerce, Ed-Tech, Enterprise / SaaS, Fin-Tech, Hardware / IoT, Infrastructure, Marketplaces, Mobile, Social / Messaging, Security, VR / AR","Sailthru, StellaService, LendKey",,
JR,No Response,NYC,William McClelland,Grace Beauty Capital,no response,no response,no response,no response,no response,no response,no response,no response,no response,no response
JR,No Response,NYC,Kathryn Cavanaugh,Grace Beauty Capital,no response,no response,no response,no response,no response,no response,no response,no response,no response,no response
CN,,NYC,Edward Zimmerman,Grape Arbor VC,2008,n/a,n/a,"Pre-Seed, Seed, Series A","NYC, SFBA, LA, US, Europe, Israel",$0-$250K,All,,,
MP,,NYC,Serkan Piantino,Graph Ventures,-,n/a,n/a,"Pre-Seed, Seed",NYC,$0-$250K,AI / ML,,,
MP (from JR),James Hottensen,NYC,"Andrew Boszhardt, Jr.",Great Oaks Venture Capital,need info,need info,need info,need info,need info,need info,need info,need info,need info,
MP,,NYC,Alan Patricof,Greycroft Partners,2006,$200M,2015,"Seed, Series A, Series B","NYC, SFBA, LA, US, Global","$500K-$1M, $1-$3M, $3-$10M","Ad-Tech, E-Commerce, Enterprise / SaaS,Entertainment / Gaming / Sports, Media / Publishing","AOL, Office Depot, Apple, Audible",,
MP,,NYC,Ellie Wheeler,Greycroft Partners,2011,$200M,2015,"Seed, Series A, Series B","NYC, SFBA, LA, US, Global","$500K-$1M, $1-$3M, $3-$10M","Ad-Tech, E-Commerce, Enterprise / SaaS,Entertainment / Gaming / Sports, Media / Publishing","BaubleBar, Flashpoint, Plated, Blinkist",,
MP,,NYC,Ian Sigalow,Greycroft Partners,2006,$200M,2015,"Seed, Series A, Series B","NYC, SFBA, LA, US, Global","$500K-$1M, $1-$3M, $3-$10M","Ad-Tech, E-Commerce, Enterprise / SaaS, Fin-Tech, Health-Tech, Media / Publishing","Buddy Media, Braintree, Venmo",,
MP,,NYC,John Elton,Greycroft Partners,2013,$200M,2015,"Seed, Series A, Series B","NYC, SFBA, LA, US, Global","$500K-$1M, $1-$3M, $3-$10M","Ad-Tech, Enterprise / SaaS,Fin-Tech, Media / Publishing","Button, Managed By Q, Earnest Research",,
JR,No Respons,NYC,no response,GV,no response,no response,no response,no response,no response,no response,no response,no response,no response,no response
,,,Erik Nordlander,GV,2010,500M+,2017,"Series A, Series B, Growth","NYC, SFBA","$1-$3M, $3-$10M, $10M+","Ad-Tech, AI / ML, Bitcoin / Blockchain, Bots, Cloud, Data / Analytics, Developer Tools, Enterprise / SaaS, Fin-Tech, HR, Infrastructure, Marketing, Mobile, Robotics / Drones, Security",,,
MP,,NYC,Darcy Frisch,Hearst Ventures,2000,balance sheet,balance sheet,"Series A, Series B, Growth",US,"$1-$3M, $3-$10M","Marketplaces,Media / Publishing,Transportation",Via,,
MP,,NYC,Scott English,Hearst Ventures,1995,balance sheet,balance sheet,"Series A, Series B, Growth",US,"$1-$3M, $3-$10M",Media / Publishing,"Drone Racing League,BuzzFeed,Pandora",,
,,,Vivjan Myrto,Hyperplane Venture Capital,2015,$40M,2016,"Pre-Seed, Seed","NYC, SFBA, US","$250-$500K, $500K-$1M","AI / ML, Cloud, Data / Analytics, Enterprise / SaaS, Fin-Tech, Hardware / IoT, Health-Tech, Infrastructure, Robotics / Drones, Transportation",,,
JB,,NYC,Roger Ehrenberg,IA Ventures,2009,$160M,2015,"Pre-Seed, Seed, Series A","NYC, SFBA, LA, US, Canada, Europe, Israel","$500K-$1M, $1-$3M","Ad-Tech, AI / ML, Bots, Cloud, Data / Analytics, Enterprise / SaaS, Fin-Tech, Health-Tech, HR, Infrastructure, Marketing, Marketplaces, Mobile, Real Estate, Transportation","Transferwise, The Trade Desk, Sight Machine, Cognitive Logic",Life sciences,
JB,,NYC,Jesse Beyroutey,IA Ventures,2011,$160M,2015,"Pre-Seed, Seed, Series A","NYC, SFBA, LA, Canada, Europe","$250-$500K, $500K-$1M, $1-$3M","AI / ML, Bio-Tech, Data / Analytics, Enterprise / SaaS, Fin-Tech, Health-Tech, Pharma / Life Sciences, Real Estate","Better Mortgage, DigitalOcean, Hometeam, Ironclad, Komodo Health, Sight Machine, Simpl, Transcriptic, TransferWise, TrueVault, Updater, Verge Genomics",,
JB,,NYC,Brad Gillespie,IA Ventures,2010,$160M,2015,"Seed, Series A","NYC, SFBA, LA, Canada, Europe","$1-$3M, $3-$10M",Data / Analytics,"Redfin, Digital Ocean, x.ai, Alluvium",,
,,,Jonathan Struhl,Indicator Ventures,2013,$17M,N/A,"Pre-Seed, Seed, Series A","NYC, SFBA, LA, US","$250-$500K, $500K-$1M","AI / ML, Bots, Cloud, Consumer, Data / Analytics, Enterprise / SaaS, Entertainment / Gaming / Sports, HR, Infrastructure, Marketing, Marketplaces, Media / Publishing, Mobile, Social / Messaging, VR / AR",,,
,,,Jonathan Struhl,Indicator Ventures,2013,$17M,N/A,"Pre-Seed, Seed, Series A","NYC, SFBA, LA, US","$250-$500K, $500K-$1M",All,,"biotech, healthcare, energy",
JB,,NYC,awaiting response,Innovation Endeavors,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response
JR,No Response,NYC,no response,Insight Venture Partners,no response,no response,no response,no response,no response,no response,no response,no response,no response,no response
,,,Nicolas Wittenborn,Insight Venture Partners,2016,$3.29B,IX,"Series A, Series B, Growth","NYC, SFBA, LA, US, Canada, Europe, Israel","$3-$10M, $10M+","Consumer, Enterprise / SaaS, Subscription software",,,
,,,Mark Peter Davis,Interplay,2012,N/A,N/A,"Seed, Series A, Series B","NYC, SFBA, LA, US, Canada, Europe, Asia","$0-$250K, $250-$500K",All,"Warby Parker, Coinbase, Trustify, Parcel, CourseHorse, CourseHero",,
,,,Kevin Tung,Interplay Ventures,2014,N/A,N/A,"Seed, Series A, Series B","NYC, SFBA, LA, US, Asia","$0-$250K, $250-$500K",All,"Healthcare.com, Jackpocket, Parcel, Coursehorse, Trustify",,
,,,Michael Rogers,Interplay Ventures,2015,N/A,N/A,"Seed, Series A, Series B","US, Global","$0-$250K, $250-$500K",All,"Trustify, Coursehorse, Parcel",,
,,,Daniel Frankenstein,JANVEST Capital Partners LLC,2010,$25M,2015,"Pre-Seed, Seed",Israel,"$250-$500K, $500K-$1M","AI / ML, Cloud, Data / Analytics, Developer Tools, Enterprise / SaaS, Fin-Tech, Hardware / IoT, Infrastructure, Mobile, Security, Transportation","BioCatch, Unomy, Presenso, Cronus, Atomation, DOVe",The companies must be based in Israel.,
CN,,NYC,Jessica Peltz-Zatulove,kbs+ Ventures,2014,balance sheet,n/a,"Pre-Seed, Seed, Series A","NYC, SFBA, LA, US, Canada, Israel",$0-$250K,"Ad-Tech, AI / ML, Bots, Data / Analytics, Enterprise / SaaS, Entertainment / Gaming / Sports, Marketing, Media / Publishing, Mobile, Social / Messaging, Security, VR / AR","Msg.ai, Indicative, EntryPoint",B2C,"We look for companies addressing the needs of the Modern CMO- so customers being Fortune500 brands, agencies and media companies."
CN,,NYC,Josh Engroff,kbs+ Ventures,2014,balance sheet,n/a,Seed,"NYC, SFBA, LA, US, Canada, Israel",$0-$250K,"Enterprise / SaaS,Marketing, Media / Publishing","Adaptly, PlaceIQ",,
JR,,NYC,Chris Fortunato,KEC Ventures,2012,$65M,2016,"Pre-Seed, Seed, Series A","NYC, SFBA, LA, US, Canada, Israel","$0-$250K, $250-$500K, $500K-$1M, $1-$3M",All,,"biotech, medical devices, cleantech",
JR,,NYC,Josh Lamstein,KEC Ventures,2014,$65M,2016,"Pre-Seed, Seed, Series A","NYC, SFBA, LA, US, Canada, Israel","$0-$250K, $250-$500K, $500K-$1M, $1-$3M",All,,"biotech, medical devices, cleantech",
JR,,NYC,Jeff Parkinson,KEC Ventures,2010,$65M,2016,"Pre-Seed, Seed, Series A","NYC, SFBA, LA, US, Canada, Israel","$0-$250K, $250-$500K, $500K-$1M, $1-$3M",All,,"biotech, medical devices, cleantech",
JR,,NYC,Brian Aoaeh,KEC Ventures,2008,$65M,2016,"Pre-Seed, Seed, Series A","NYC, SFBA, LA, US, Canada, Israel","$0-$250K, $250-$500K, $500K-$1M, $1-$3M",All,,"biotech, medical devices, cleantech",
,,,Todd Breeden,KiwiVenture Partners,2016,$50M*,2016,"Pre-Seed, Seed","NYC, SFBA, LA, US","$250-$500K, $500K-$1M","Ad-Tech, AI / ML, Bitcoin / Blockchain, Bots, Cloud, Consumer, Data / Analytics, Developer Tools, E-Commerce, Ed-Tech, Enterprise / SaaS, Entertainment / Gaming / Sports, Fin-Tech, Health-Tech, HR, Marketing, Marketplaces, Media / Publishing, Mobile, Real Estate, Social / Messaging, VR / AR","Amper Music, Privy, FINDMINE","Hardware, International Operations",
MP (from DK),Reena Jailwala,NYC,Jeffrey Silverman,Laconia Capital Group,,,,Seed,,,"Ad-Tech, Data / Analytics, Media / Publishing, Mobile, Social",,,
,,,David Arcara,Laconia Capital Group,2015,$5M,2015,"Seed, Series A",NYC,$250-$500K,"AI / ML, Cloud, Data / Analytics, E-Commerce, Ed-Tech, Enterprise / SaaS, Entertainment / Gaming / Sports, Fin-Tech, HR, Marketing, Real Estate, only B2B","SportsRecruits, AutoFi, Homer Logistics, Content Raven, ChannelEyes","B2C, hardware, biotech, device healthcare, energy, military applications","We make initial investments in the late seed stage, with potential follow-on in Series A"
DK,,NYC,Brittany Laughlin,Lattice Ventures,2016,$2M,2016,"Pre-Seed, Seed","NYC, SFBA, US",$0-$250K,All,"Access Bazaar, Planted, Swoonery, WorkRails",hardware,"look for network effect businesses, industry agnostic."
DK,,NYC,Vanessa Pestritto,Lattice Ventures,2016,$2M,2016,"Pre-Seed, Seed","NYC, SFBA, US",$0-$250K,All,"Access Bazaar, Planted, Swoonery, WorkRails",hardware,"look for network effect businesses, industry agnostic."
JB,,NYC,Evan Nisselson,LDV Capital,2012,$15M,2016,"Pre-Seed, Seed, Series A","US, Europe",$250-$500K,"AI / ML, Data / Analytics, Enterprise / SaaS, Entertainment / Gaming / Sports, Robotics / Drones, VR / AR","Mapillary, Clarifai, APX-Labs, Crew",,"Focus: Visual Technologies across the full tech stack for businesses or consumers. Especially technology leveraging computer vision, machine learning and AI focused projects across the whole imaging/video spectrum from wearable cameras, anything with an imaging sensor, virtual reality, augmented reality, autonomous driving, auto-magic editing software, visual search, artificial intelligence, mapping, medical imaging, imaging enabled commerce, computer vision, content analytics, computational imaging, publishing, satellite imaging, distribution, robotic imaging and visual sharing."
MP,,NYC,Mitchell Green,Lead Edge Capital,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response
MP,,NYC,Nimay Mehta,Lead Edge Capital,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response
MP,,NYC,Brian Neider,Lead Edge Capital,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response
JB,Julian Moncada,NYC,Joe Medved,Lerer Hippeau Ventures,2015,$113M,2015,Growth,NYC,,"E-Commerce, Marketing, Marketplaces","Jump Ramp, NatureBox, YourMechanic",,
JB,Julian Moncada,NYC,Ben Lerer,Lerer Hippeau Ventures,2010,$113M,2015,Seed,NYC,,"Consumer, E-Commerce","Casper, Warby Parker",,
JB,Julian Moncada,NYC,Eric Hippeau,Lerer Hippeau Ventures,2010,$113M,2015,Seed,NYC,,"Consumer, Enterprise / SaaS",Namely,,
JB,Julian Moncada,NYC,Kenneth Lerer,Lerer Hippeau Ventures,2010,$113M,2015,Seed,NYC,,"Consumer, Media / Publishing","NowThis, PowerToFly",,
JB,Julian Moncada,NYC,Taylor Greene,Lerer Hippeau Ventures,2013,$113M,2015,"Pre-Seed, Seed","NYC, SFBA, LA, US, Canada, Europe, Israel","$250-$500K, $500K-$1M, $1-$3M",All,"Casper, Percolate, Namely, Giphy",,
,,,Rick Zullo,Lightbank,2014,$200M,2011,"Seed, Series A","NYC, SFBA, US","$1-$3M, $3-$10M","AI / ML, Cloud, Developer Tools, Enterprise / SaaS, Fin-Tech, HR, Infrastructure, Marketplaces, Mobile, Security, Transportation","Vettery, Riskmatch, Catalytic, Neumob, Rigup, Expel.io",,
MP (from JB),Zavain Dar,NYC,Adam Goulburn,Lux Capital,no response,no response,no response,no response,no response,no response,no response,"Hometeam, Pager, Zipdrug",,
MP (from JB),Zavain Dar,NYC,Josh Wolfe,Lux Capital,no response,no response,no response,no response,no response,no response,no response,"Shapeways, Planet Labs, Clarifai",,
MP (from JB),Zavain Dar,NYC,Zack Schildhorn,Lux Capital,no response,no response,no response,no response,no response,no response,no response,"Latch, SOLS",,
,,,Zack Schildhorn,Lux Capital,2006,$400M,2017,"Seed, Series A, Series B","NYC, SFBA, US","$250-$500K, $500K-$1M, $1-$3M, $3-$10M","AI / ML, Bio-Tech, Clean-Tech / Energy, Hardware / IoT, Health-Tech, Robotics / Drones, VR / AR, Wearables, Science & Technology","Shapeways, SOLS, Latch, Moment","Ad-tech, e-commerce, social, fin-tech",Focus exclusively on futuristic science & technology-based companies
,,,Ryan Darnell,Max Ventures,2016,$10M,2013,Seed,"NYC, SFBA, LA","$0-$250K, $250-$500K","Health Tech, E-Commerce, Fin-Tech","Boxed Wholesale, Button, Drone Racing League, Le Tote, Knock, AutoFi, GrubMarket",,
,,,Jason Cahill,McCune Capital,2017,$1.5M,2017,"Pre-Seed, Seed","NYC, SFBA, US",$0-$250K,"AI / ML, Clean-Tech / Energy, Hardware / IoT, Infrastructure, Real Estate, Transportation","TransitScreen, Novel Effect",Biotech,
MP (from CN),,NYC,Aamer Abdullah,MI Ventures,no response,no response,no response,no response,no response,no response,no response,no response,no response,no response
JB,,NYC,Ray Cheng,Millennium Tech Value Partners,2012,$285M,2012,"Series B, Growth","NYC, SFBA, LA, US, Canada, Europe","$1-$3M, $3-$10M, $10M+","AI / ML, Bitcoin / Blockchain, Bots, Cloud, Consumer, Data / Analytics, Developer Tools, E-Commerce, Enterprise / SaaS, Fin-Tech, Hardware / IoT, Mobile, Robotics / Drones, Security, Transportation, VR / AR","Pentaho, PrecisionHawk, BigCommerce","ad tech, pharma, lending",
JB,Andrew Schoen,NYC,Tony Florence,NEA,2008,$3.5B,2015,"Pre-Seed, Seed, Series A, Series B, Growth","NYC, SFBA, LA, US, Canada, Europe, Israel, Asia, Global","$250-$500K, $500K-$1M, $1-$3M, $3-$10M, $10M+","AI / ML, Bio-Tech, Bots, Clean-Tech / Energy, Cloud, Consumer, Data / Analytics, Developer Tools, E-Commerce, Ed-Tech, Enterprise / SaaS, Hardware / IoT, Health-Tech, Infrastructure, Marketplaces, Media / Publishing, Mobile, Pharma / Life Sciences, Real Estate, Robotics / Drones, Security, Transportation, VR / AR, Wearables","Duolingo, CCP Games, Qadium, IonQ, ThreatQuotient, Fugue, MongoDB",,
JB,,NYC,Jerry Neumann,Neu Venture Capital,2008,$30M,2015,"Pre-Seed, Seed","NYC, SFBA, LA, US",$0-$250K,"Ad-Tech, AI / ML, Data / Analytics, Developer Tools, Enterprise / SaaS, Fin-Tech, Hardware / IoT, Marketing, Media / Publishing","Simple, Flurry, The Trade Desk, Percolate, Datadog",,
DK,,NYC,Tom Wisniewski,Newark Venture Partners,2014,$50M,2014,"Pre-Seed, Seed, Series A",Global,"$0-$250K, $250-$500K, $500K-$1M",All,,,"founded by CEO of Audible, who is an LP"
,,,Tim Devane,NextView Ventures,2015,$40M,2014,"Pre-Seed, Seed","NYC, SFBA, LA, US",$500K-$1M,"AI / ML, Bitcoin / Blockchain, Cloud, Consumer, Data / Analytics, Developer Tools, E-Commerce, Enterprise / SaaS, Entertainment / Gaming / Sports, Fin-Tech, Hardware / IoT, Health-Tech, Infrastructure, Marketplaces, Media / Publishing, Mobile, Real Estate, Social / Messaging, Transportation, VR / AR, Wearables","Dia & Co, Roam Co-Living, Timber.io, The Outline, Parsec",,
,,,David Beisel,NextView Ventures,2010,$40M,2014,"Pre-Seed, Seed","NYC, US","$0-$250K, $250-$500K, $500K-$1M","Ad-Tech, AI / ML, Consumer, Developer Tools, Enterprise / SaaS, Entertainment / Gaming / Sports, Hardware / IoT, Marketing, Marketplaces, Media / Publishing, Mobile, Real Estate, Social / Messaging, Transportation, Wearables, Voice Computing","MealPal, Code Climate, TapCommerce, thredUP",,
JB,,NYC,Alex Lines,Notation Capital,2014,$8M,2015,Pre-Seed,NYC,$0-$250K,"AI / ML, Cloud, Consumer, Data / Analytics, Developer Tools, Fin-Tech, Infrastructure, Marketplaces",,,Interested in meeting highly technical teams solving hard problems.
JB,,NYC,Nick Chirls,Notation Capital,2014,$8M,2015,Pre-Seed,NYC,$0-$250K,"AI / ML, Cloud, Consumer, Data / Analytics, Developer Tools, Fin-Tech, Infrastructure, Marketplaces",,,product-oriented teams at the infancy of an idea
JB,,NYC,Owen Davis,NYC Seed,2008,$10M,2009,"Pre-Seed, Seed",NYC,"$0-$250K, $250-$500K","AI / ML, Bitcoin / Blockchain, Bots, Cloud, Data / Analytics, Developer Tools, Enterprise / SaaS, Fin-Tech, Hardware / IoT, Infrastructure, Marketplaces, Mobile, Robotics / Drones, Security, Realtime Infrastructure and Applications","Datadog, Enigma.io, Divide (Enterproid, aquired)",Biotech,"Very interested in the ""new full tech stack"" from realtime data to predictive analytics."
CN,,NYC,Frank Rimalovski,NYU Innovation Venture Fund,2010,$3M,n/a,"Pre-Seed, Seed, Series A",NYC,$0-$250K,All,"Clarifai, Brooklinen, BioDigital, Keen Home, Kinvolved",Startups with no current NYU student/faculty/researcher founder.,"We invest exclusively in startups founded by, and/or commercializing technologies and intellectual property developed by, current NYU students, faculty, and researchers. See http://entrepreneur.nyu.edu/resource/innovation-venture-fund/ for more details."
,,,Kunal Mehta,NYU Innovation Venture Fund,2016,$3M,n/a,Seed,"NYC, US",$0-$250K,All,,,
JB,Will Gibbs,NYC,Alliott Cole,Octopus Ventures,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response,awaiting response
,,,Kevin Siskar,Outbound Ventures,2015,n/a,n/a,"Pre-Seed, Seed, Series A",Global,"$0-$250K, $250-$500K",Consumer,,,
,,,Nael Rasamny,Outbound Ventures,2015,$10m,Year 1,"Seed, Series A","NYC, SFBA, LA, US",$0-$250K,"Consumer, Data / Analytics, E-Commerce, Hardware / IoT, Marketplaces, Wearables","AYR, Rebelmail, Jumpcut, Junzi Kitchen ","Biotech, Life sciences, HR, Dev tools",We invest in consumer brands that resonate with millennials and novel applications of tech that enhance the interaction between a brand and their customer.
MP,,NYC,Itzhak Fisher,Pereg Ventures,2014,$40M,2014,"Series A, Series B","US, Israel",$1-$3M,"Data Analytics,Marketing,Media / Publishing",,,Nielsen and Tata Group are both strategic investors in Pereg.
MP,,NYC,Mark Leiter,Pereg Ventures,2014,$40M,2014,"Series A, Series B","US, Israel",$1-$3M,Media / Publishing,Quaero,,Nielsen and Tata Group are both strategic investors in Pereg.
